,Season,Round,Date,Team_Home,Team_Away,Ball_possession_home,Ball_possession_away,Goal_sit_home,Goal_sit_away,Shots_target_home,Shots_target_away,Shots_no_target_home,Shots_no_target_away,Corners_home,Corners_away,Offsides_home,Offsides_away,GK_inter_home,GK_inter_away,Fauls_home,Fauls_away,Yellow_home,Yellow_away,Red_home,Red_away,Goals_home,Goals_away,Result
129,2013-2014,3,2013-02-08 20:30:00,Zawisza Bydgoszcz,Pogoń Szczecin,45,55,10,10,5,4,4,2,5,5,0,2,3,4,10,12,1,2,0,0,1,1,D
130,2013-2014,3,2013-03-08 18:00:00,Widzew Łódź,Korona Kielce,58,42,14,6,2,2,10,3,3,2,1,1,1,0,22,19,6,3,0,1,2,1,W
131,2013-2014,3,2013-03-08 20:30:00,Legia Warszawa,Podbeskidzie B-B,68,32,23,8,9,1,9,6,11,6,9,4,1,5,15,9,0,1,0,0,4,0,W
132,2013-2014,3,2013-04-08 15:30:00,Górnik Zabrze,Piast Gliwice,58,42,17,10,7,1,8,7,7,7,2,1,0,5,14,21,2,4,0,0,2,1,W
133,2013-2014,3,2013-04-08 18:00:00,Śląsk Wrocław,Wisła Kraków,58,42,20,4,8,2,7,1,12,10,3,0,2,8,12,15,3,4,0,0,0,0,D
134,2013-2014,3,2013-04-08 20:30:00,Zagłębie Lubin,Lech Poznań,38,62,5,13,0,3,3,7,6,8,5,5,3,0,11,6,2,0,0,0,0,0,D
135,2013-2014,3,2013-05-08 18:00:00,Lechia Gdańsk,Jagiellonia Białystok,43,57,14,8,5,0,7,3,4,4,1,3,0,3,18,13,2,3,0,0,2,0,W
136,2013-2014,4,2013-09-08 18:00:00,Podbeskidzie B-B,Zagłębie Lubin,56,44,19,8,6,2,8,4,8,6,0,1,2,6,14,16,1,0,0,0,0,0,D
137,2013-2014,4,2013-09-08 20:30:00,Wisła Kraków,Jagiellonia Białystok,52,48,13,11,7,2,4,7,4,5,4,1,1,6,19,19,4,5,0,0,1,1,D
138,2013-2014,4,2013-10-08 15:30:00,Widzew Łódź,Górnik Zabrze,50,50,12,7,3,2,9,5,3,4,1,1,0,3,13,12,2,2,0,0,0,3,L
