,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Skuteczność podań_home,Skuteczność podań_away,goals_home,goals_away
83,2021-2022,25,13.03.2022 17:30,Wisła Kraków,Lech Poznań,34%,66%,8,16,3,3,3,6,2,7,11,6,12,10,0,1,18,25,2,2,8,13,2,2,260,501,173,398,11,21,34,58,18,39,,,,,1,1
84,2021-2022,25,13.03.2022 15:00,Śląsk Wrocław,Radomiak Radom,52%,48%,11,7,1,3,7,4,3,0,10,16,7,5,1,0,25,24,3,1,16,12,0,2,406,381,319,280,14,27,105,115,82,58,,,,,0,0
85,2021-2022,25,13.03.2022 12:30,Jagiellonia Białystok,Wisła Płock,56%,44%,17,20,4,6,7,8,6,6,18,16,4,10,2,2,28,20,5,4,15,12,1,1,451,351,353,248,17,21,125,96,83,74,,,,,0,1
86,2021-2022,25,12.03.2022 20:00,Cracovia,Pogoń Szczecin,42%,58%,12,9,3,3,7,5,2,1,15,14,4,2,0,0,32,28,2,2,14,18,5,4,331,377,210,280,21,12,64,97,57,63,,,,,1,1
87,2021-2022,25,12.03.2022 17:30,Piast Gliwice,Lechia Gdańsk,52%,48%,12,8,4,3,4,3,4,2,19,15,9,3,1,1,17,26,3,3,13,15,1,3,379,363,251,241,13,6,100,92,57,47,,,,,1,0
88,2021-2022,25,12.03.2022 15:00,Warta Poznań,Górnik Zabrze,40%,60%,13,4,8,2,3,0,2,2,10,14,7,3,1,0,17,36,1,6,12,13,0,3,365,559,256,446,17,8,94,102,56,48,,,,,2,1
89,2021-2022,25,11.03.2022 20:30,Górnik Łęczna,Legia Warszawa,37%,63%,6,13,2,3,1,8,3,2,13,15,4,7,2,1,17,17,2,2,13,13,2,2,357,599,246,505,13,15,71,79,33,57,,,,,0,1
90,2021-2022,25,11.03.2022 18:00,Bruk-Bet T.,Zagłębie Lubin,53%,47%,13,9,5,4,4,5,4,0,17,21,6,5,5,1,23,18,2,5,19,15,4,3,397,352,290,254,14,12,81,91,52,52,,,,,0,2
91,2021-2022,24,07.03.2022 19:00,Legia Warszawa,Śląsk Wrocław,53%,47%,14,6,2,1,8,3,4,2,,,4,3,1,3,,,1,1,19,15,2,0,,,407,320,,,111,115,54,56,,,,,1,0
92,2021-2022,24,06.03.2022 17:30,Lech Poznań,Raków Częstochowa,61%,39%,16,5,2,2,9,1,5,2,,,5,1,0,3,,,1,2,19,14,2,4,561,362,462,275,16,18,114,102,61,44,,,,,0,1
